title,description,category,price,reseller_price,compare_price,image_url,stock,sku,cross_sells,key_benefits,technical_specifications,warranty_and_support
IMPRIMANTE EPSON ECOTANK COULEUR MFP L6270NW 3EN1 A4 R/V 33PPM ( PIG NOIR) 36M,"<p><span>Impression, copie, numérisation</span><br><span>Livrée avec encre noire jusqu'à 14000 pages et 5.200 pages en couleur (1 bouteilles d'encre noire de 127ml; 3 Bouteilles d’encre couleurs individuelles de 70ml)</span><br><span>Vitesse d'impression noir: 33 pages/min (15,5 pages/min en norme ISO)</span><br><span>Vitesse d'impression couleur: 20 pages/min (8,5 pages/min en norme ISO)</span><br><span>Qualité d'impression noire: 4800 x 1200 DPI (ppp)</span><br><span>Qualité d'impression couleur: 4800 x 1200 DPI (ppp)</span><br><span>Fonctionne avec: 4 réservoirs ( Noir [Pigment], Cyan [Dye], Jaune [Dye], Magenta [Dye])</span><br><span>Connectivité: USB, Ethernet, Wi-Fi, Wi-Fi Direct</span></p>","Electronics > Print, Copy, Scan & Fax > Printers, Copiers & Fax Machines",4198.0,3498.0,0,,10,,,,,
IMPRIMANTE EPSON ECOTANK COULEUR MFP L5290NW A4 R/V 33PPM 12M,"<p><span>Impression, copie, numérisation, fax</span><br><span>Livrée avec encre noire jusqu'à 8100 pages et 6500 pages en couleur (2 bouteilles d'encre noire de 65ml; 3 Bouteilles d’encre couleurs individuelles de 65ml)</span><br><span>Vitesse d'impression noir: 33 pages/min (10 pages/min en norme ISO)</span><br><span>Vitesse d'impression couleur: 15 pages/min (5 pages/min en norme ISO)</span><br><span>Qualité d'impression noire: 5.760 x 1.440 DPI (ppp)</span><br><span>Qualité d'impression couleur: 5.760 x 1.440 DPI (ppp)</span><br><span>Fonctionne avec: 4 Réservoirs (Noir, Cyan, Jaune, Magenta)</span><br><span>Connectivité: Wi-Fi, USB, Ethernet, Wi-Fi Direct</span></p>","Electronics > Print, Copy, Scan & Fax > Printers, Copiers & Fax Machines",3287.0,2739.0,0,https://cdn.shopify.com/s/files/1/0639/7876/6523/files/images_6.jpg?v=1766398076,10,,,,,
"50"" 4K Ultra HD Smart Fire TV SUPPORT","<p><strong>RENCONTREZ LA NOUVELLE GÉNÉRATION TOSHIBA 4K ULTRA HD SMART TV AVEC FIRE TV</strong><br>Fire TV Edition vous place au centre de votre monde de divertissement, vous permettant d'accéder à tous vos contenus préférés à<br>partir de l'écran d'accueil, y compris la télévision en direct et des dizaines de milliers de chaînes et d'applications de streaming.<br>Avec la télécommande vocale incluse pour parler à votre Alexa intégrée, il vous suffit d'appuyer sur et de demander à Alexa de<br>regarder la télévision en direct, de rechercher des titres, de lire de la musique, de changer d'entrée, de contrôler les appareils<br>intelligents compatibles, et plus encore. Toshiba TV poursuit la philosophie de «Essential Beauty» qui est basée sur les lignes<br>horizontales et verticales de l'espace de vie, elle donne au salon un aspect élégant en se fondant dans son environnement.</p>",Electronics > Video > Televisions,3990.0,3325.0,0,https://cdn.shopify.com/s/files/1/0639/7876/6523/files/45-Screenfill__ScaleMaxHeightWzc1MF0-fotor-20251222101353.png?v=1766394902,10,,,,,
IMPRIMANTE EPSON ECOTANK COULEUR MFP L4260W 3EN1 A4 R/V 33PPM ( PIG NOIR) 12M,"<p><span>Impression, Numérisation, Copie</span><br><span>Livrée avec encre</span><span> noire jusqu'à 14 000 pages et 5200 pages en couleur (2 bouteilles d'encre noire de 127ml; 3 Bouteilles d’encre couleurs individuelles de 70ml)</span><br><span>Vitesse d'impression noir: 33 pages/min (10,5 pages/min en norme ISO)</span><br><span>Vitesse d'impression couleur: 15 pages/min (5 pages/min en norme ISO)</span><br><span>Qualité d'impression noire: 5.760 x 1.440 DPI (ppp)</span><br><span>Qualité d'impression couleur: 5.760 x 1.440 DPI (ppp)</span><br><span>Impression recto/verso: Automatique</span><br><span>Fonctionne avec: 4 Réservoirs (Noir, Cyan, Jaune, Magenta)</span><br><span>Connectivité: USB, Wi-Fi, Wi-Fi Direct</span></p>","Electronics > Print, Copy, Scan & Fax > Printers, Copiers & Fax Machines",2760.0,2300.0,0,https://cdn.shopify.com/s/files/1/0639/7876/6523/files/imprimante-multifonction-epson-ecotank-l4260-a-reservoirs-rechargeables-c11cj63411.jpg?v=1766047958,10,,,,,
IMPRIMANTE EPSON ECOTANK COULEUR MFP L14150W 4EN1 A3 R/V 38 PPM ( PIG NOIR) 12M,"<p><span>impression, numérisation, copie et fax</span><br><span>Livrée avec encre noire jusqu'à 6200 pages et 5200 pages en couleur (1 bouteille d'encre noire de 127ml; 3 Bouteilles d’encre couleurs individuelles de 70ml)</span><br><span>Vitesse d'impression noir: 38 pages/min (17 pages/min en norme ISO)</span><br><span>Vitesse d'impression couleur: 24 pages/min (9 pages/min en norme ISO)</span><br><span>Qualité d'impression noire: 4.800 x 1.200 DPI (ppp)</span><br><span>Qualité d'impression couleur: 4.800 x 1.200 DPI (ppp)</span><br><span>Fonctionne avec: 4 Réservoirs (noir, cyan, magenta, jaune)</span><br><span>Connectivité: USB, Ethernet, Wi-Fi, Wi-Fi Direct</span></p>","Electronics > Print, Copy, Scan & Fax > Printers, Copiers & Fax Machines",13564.0,11303.0,0,https://cdn.shopify.com/s/files/1/0639/7876/6523/files/imprimante-a3-epson-ecotank-l14150-multifonction-a-reservoirs-rechargeables-c11ch96403.jpg?v=1766047706,10,,,,,
IMPRIMANTE EPSON DE TICKET TMT20X USB+SERIAL PS BLK (C31CH26051),"<p><span>Optez pour cette imprimante de tickets POS </span><span>Epson</span><span> TM-T20X (051) pour des impressions rapides et économiques. Avec une largeur d’impression de 80 mm, elle offre des reçus clairs et professionnels. La fonction de réduction automatique du papier réduit les marges supérieures et inférieures, permettant une impression flexible. Sa fiabilité est assurée avec une durée de vie de mécanisme de 15 millions de lignes. Les interfaces USB + série et Ethernet offrent une connectivité flexible. Gagnez du temps avec une vitesse d’impression de 200 mm/s. Faites confiance au premier fabricant européen d’imprimantes POS, Epson.</span></p>","Electronics > Print, Copy, Scan & Fax > Printers, Copiers & Fax Machines",1083.0,902.0,0,https://cdn.shopify.com/s/files/1/0639/7876/6523/files/images_5.jpg?v=1766047112,10,,,,,
"PC PORTABLE DELL LAPTOP 15 DC15250 15,6''I5-1334U 8G 512G SSD","<p><span>Intel® Core™ i5-1334U de 13ᵉ génération, 10 cœurs</span><br><span>RAM: 8 Go de mémoire DDR4</span><br><span>Disque dur: 512 GB SSD</span><br><span>Écran: 15.6"" FHD (1920 x 1080)</span><br><span>Carte graphique: Intel® UHD</span><br><span>FreeDOS (Sans Windows</span><a href=""https://www.iris.ma/101-systeme-d-exploitation""></a><span>)</span><br><span>Clavier: Français (AZERTY)</span><br><span>Poids: 1,90 kg</span></p>",Electronics > Computers > Laptops,5928.0,4940.0,0,https://cdn.shopify.com/s/files/1/0639/7876/6523/files/ordinateur-portable-dell-15-dc15250-15.6-pouces-core-i5-1334u-noir-dc15250-i5-ubu-links-solutions-maroc_1.webp?v=1765885893,10,,,,,
PC MSI-MODERN 14 C13M 1450MA CLASSIC BLACK 14'' FHD IPS IRIS XE GRAPHICS INTEL CORE I5-1335U,"<dl class=""data-sheet d-flex flex-wrap justify-content-between m-0"">
<dt class=""name mb-1 p-2"">Type de Processeur</dt>
<dd class=""value mb-1 p-2"">Intel Core I5-1335U (10 cœurs, jusqu’à 4,6 GHz)</dd>
<dt class=""name mb-1 p-2"">Capacité RAM</dt>
<dd class=""value mb-1 p-2"">16 Go DDR4</dd>
<dt class=""name mb-1 p-2"">Chipset graphique</dt>
<dd class=""value mb-1 p-2"">Intel IRIS XE</dd>
<dt class=""name mb-1 p-2"">SSD</dt>
<dd class=""value mb-1 p-2"">512 GB</dd>
<dt class=""name mb-1 p-2"">Ecran</dt>
<dd class=""value mb-1 p-2"">14″ FHD (1920×1080)</dd>
<dt class=""name mb-1 p-2"">Système d'exploitation</dt>
<dd class=""value mb-1 p-2"">Windows 11</dd>
<dt class=""name mb-1 p-2"">Marque</dt>
<dd class=""value mb-1 p-2"">MSI</dd>
</dl>",Electronics > Computers > Laptops,5544.0,4620.0,0,https://cdn.shopify.com/s/files/1/0639/7876/6523/files/71X1tqn9GoL.jpg?v=1765884537,0,,,,,
PC BUREAU MSI DP180 i5-14400 U-DIMM DDR5 8GB 1TB,<p>i5-14400 U-DIMM DDR5 8GB 1TB SSD M.2 2x RJ45 Intel® I226V+Intel® I219-V DVD±RW Graphics 730 Realtek ALC897 7.1 Channel HD Audio Intel Wireless AX211 + Bluetooth v5.3  TPM 2.0  CARD READER FREEDOS </p>,Electronics > Computers > Desktop Computers,5754.0,4795.0,0,https://cdn.shopify.com/s/files/1/0639/7876/6523/files/pc-de-bureau-msi-pro-dp180-13-ecran-mp251-24-dp180-i5_1.png?v=1765883198,9,,,,,
"PC AIO MSI PRO AP242P 14M 23,8"" 100Hz I7-14700 16G DDR5 512 SSD","<p>PC AIO MSI PRO AP242P 14M 23,8"" 100Hz I7-14700 16G DDR5 512 SSD Wi-Fi 6E + Bluetooth v5.3dTPM Module 1xUSB 3.2Gen2 TypeC /1xUSB 3.2 Gen2 TypeA 2x USB 2.0 TypeA,2xUSB 3.2 Gen1 TypeA,1x RJ-45 LAN, HDMI/DP Webcam Integré Non Touch Wireless KB/MS Freedos 1Y</p>",Electronics > Computers > Desktop Computers,10310.0,8591.0,0,https://cdn.shopify.com/s/files/1/0639/7876/6523/files/81Jtb6DsOPL._AC_UF350_350_QL50.jpg?v=1765882949,10,,,,,
